corps,event_name,date,location,chief_judge,season,total_score,total_rank,color_guard_achievement_judge,color_guard_achievement_rank,color_guard_achievement_score,color_guard_content_judge,color_guard_content_rank,color_guard_content_score,general_effect_1_performance_judge,general_effect_1_performance_rank,general_effect_1_performance_score,general_effect_1_repertoire_judge,general_effect_1_repertoire_rank,general_effect_1_repertoire_score,general_effect_2_performance_judge,general_effect_2_performance_rank,general_effect_2_performance_score,general_effect_2_repertoire_judge,general_effect_2_repertoire_rank,general_effect_2_repertoire_score,music_analysis_achievement_judge,music_analysis_achievement_rank,music_analysis_achievement_score,music_analysis_content_judge,music_analysis_content_rank,music_analysis_content_score,music_brass_achievement_judge,music_brass_achievement_rank,music_brass_achievement_score,music_brass_content_judge,music_brass_content_rank,music_brass_content_score,music_brass_continuity_judge,music_brass_continuity_rank,music_brass_continuity_score,music_percussion_achievement_judge,music_percussion_achievement_rank,music_percussion_achievement_score,music_percussion_content_judge,music_percussion_content_rank,music_percussion_content_score,music_percussion_continuity_judge,music_percussion_continuity_rank,music_percussion_continuity_score,penalties_judge,penalties_rank,penalties_score,special_brass_friday_judge,special_brass_friday_rank,special_brass_friday_score,special_brass_thursday_judge,special_brass_thursday_rank,special_brass_thursday_score,special_cg_friday_judge,special_cg_friday_rank,special_cg_friday_score,special_cg_thursday_judge,special_cg_thursday_rank,special_cg_thursday_score,special_ge_friday_judge,special_ge_friday_rank,special_ge_friday_score,special_ge_thursday_judge,special_ge_thursday_rank,special_ge_thursday_score,special_perc_friday_judge,special_perc_friday_rank,special_perc_friday_score,special_perc_thursday_judge,special_perc_thursday_rank,special_perc_thursday_score,special_visual_proficiency_friday_judge,special_visual_proficiency_friday_rank,special_visual_proficiency_friday_score,special_visual_proficiency_thursday_judge,special_visual_proficiency_thursday_rank,special_visual_proficiency_thursday_score,visual_analysis_achievement_judge,visual_analysis_achievement_rank,visual_analysis_achievement_score,visual_analysis_composition_judge,visual_analysis_composition_rank,visual_analysis_composition_score,visual_proficiency_achievement_judge,visual_proficiency_achievement_rank,visual_proficiency_achievement_score,visual_proficiency_content_judge,visual_proficiency_content_rank,visual_proficiency_content_score,visual_proficiency_continuity_judge,visual_proficiency_continuity_rank,visual_proficiency_continuity_score
The Cavaliers,The Whitewater Classic,2015-07-05,"Whitewater, WI",Rich Kemp,2015,75.5,3,Debbie Torchia,3.0,7.4,Debbie Torchia,3.0,7.8,Richard Kemp,3.0,7.4,Richard Kemp,3.0,7.6,Glenn Fugett,3.0,7.5,Glenn Fugett,3.0,7.7,Monte Mast,3.0,7.6,Monte Mast,3.0,7.8,Andrew Cook,4.0,7.3,Andrew Cook,3.0,7.8,,,,Max Mullinix,3.0,7.5,Max Mullinix,3.0,7.9,,,,Dale Antoine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,5.0,7.1,Ken Giese,3.0,7.5,Sly Sybilski,3.0,7.3,Sly Sybilski,3.0,7.6,,,
Blue Devils,Drum Corps: An American Tradition,2015-07-05,"Clifton, NJ",Wayne Dillon,2015,82.6,1,Sal Adamo,3.0,8.1,Sal Adamo,1.0,8.5,Mickey Kelly,2.0,8,Mickey Kelly,1.0,8.3,Randy Greenwell,3.0,8.1,Randy Greenwell,2.0,8.4,Wayne Dillon,1.0,8.3,Wayne Dillon,1.0,8.3,Mark Waymire,2.0,8.1,Mark Waymire,2.0,8.2,,,,Marty Griffin,2.0,8.2,Marty Griffin,1.0,8.6,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Raichle,1.0,8.4,Chris Raichle,1.0,8.6,William Chumley,2.0,7.9,William Chumley,1.0,8.4,,,
Boston Crusaders,Drum Corps: An American Tradition,2015-07-05,"Clifton, NJ",Wayne Dillon,2015,75.35,4,Sal Adamo,4.0,7.5,Sal Adamo,4.0,7.8,Mickey Kelly,4.0,7.5,Mickey Kelly,4.0,7.7,Randy Greenwell,4.0,7.4,Randy Greenwell,4.0,7.6,Wayne Dillon,4.0,7.4,Wayne Dillon,4.0,7.6,Mark Waymire,4.0,7.6,Mark Waymire,4.0,7.8,,,,Marty Griffin,4.0,7.4,Marty Griffin,4.0,7.6,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Raichle,4.0,7.4,Chris Raichle,4.0,7.6,William Chumley,4.0,6.9,William Chumley,4.0,7.7,,,
Carolina Crown,Drum Corps: An American Tradition,2015-07-05,"Clifton, NJ",Wayne Dillon,2015,81.7,3,Sal Adamo,1.0,8.3,Sal Adamo,2.0,8.4,Mickey Kelly,2.0,8,Mickey Kelly,3.0,8.1,Randy Greenwell,1.0,8.2,Randy Greenwell,3.0,8.2,Wayne Dillon,2.0,8.2,Wayne Dillon,2.0,8.2,Mark Waymire,3.0,8,Mark Waymire,3.0,8.1,,,,Marty Griffin,3.0,7.9,Marty Griffin,3.0,8.2,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Raichle,2.0,8.3,Chris Raichle,3.0,8.4,William Chumley,1.0,8.2,William Chumley,3.0,8.2,,,
Jersey Surf,Drum Corps: An American Tradition,2015-07-05,"Clifton, NJ",Wayne Dillon,2015,61.9,5,Sal Adamo,5.0,6.1,Sal Adamo,5.0,6.6,Mickey Kelly,5.0,5.2,Mickey Kelly,5.0,6.1,Randy Greenwell,5.0,6.2,Randy Greenwell,5.0,6.4,Wayne Dillon,5.0,5.9,Wayne Dillon,5.0,6.2,Mark Waymire,5.0,6.6,Mark Waymire,5.0,6.8,,,,Marty Griffin,5.0,6.2,Marty Griffin,5.0,6.4,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Raichle,5.0,6.5,Chris Raichle,5.0,6.2,William Chumley,5.0,6.4,William Chumley,5.0,6.1,,,
The Cadets,Drum Corps: An American Tradition,2015-07-05,"Clifton, NJ",Wayne Dillon,2015,82.55,2,Sal Adamo,2.0,8.2,Sal Adamo,3.0,8.3,Mickey Kelly,1.0,8.2,Mickey Kelly,2.0,8.2,Randy Greenwell,1.0,8.2,Randy Greenwell,1.0,8.5,Wayne Dillon,3.0,8.1,Wayne Dillon,2.0,8.2,Mark Waymire,1.0,8.2,Mark Waymire,1.0,8.3,,,,Marty Griffin,1.0,8.4,Marty Griffin,2.0,8.5,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Raichle,3.0,8.1,Chris Raichle,2.0,8.5,William Chumley,3.0,7.8,William Chumley,2.0,8.3,,,
Mandarins,DCI Capital Classic Corps Show,2015-07-05,"Sacramento, CA",Mike Rubino,2015,64.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rick Caccam,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Crown,The Beanpot Invitational - A DCI/DCA split event!,2015-07-04,"Lynn, MA",Gil Silva & Wayne Dillon,2015,81.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossmen,The Beanpot Invitational - A DCI/DCA split event!,2015-07-04,"Lynn, MA",Gil Silva & Wayne Dillon,2015,73.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey Surf,The Beanpot Invitational - A DCI/DCA split event!,2015-07-04,"Lynn, MA",Gil Silva & Wayne Dillon,2015,61.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cadets,The Beanpot Invitational - A DCI/DCA split event!,2015-07-04,"Lynn, MA",Gil Silva & Wayne Dillon,2015,82.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troopers,The Beanpot Invitational - A DCI/DCA split event!,2015-07-04,"Lynn, MA",Gil Silva & Wayne Dillon,2015,71.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Devils,Summer Music Preview,2015-07-03,"Bristol, RI",Wayne Dillon,2015,82.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossmen,Summer Music Preview,2015-07-03,"Bristol, RI",Wayne Dillon,2015,71.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey Surf,Summer Music Preview,2015-07-03,"Bristol, RI",Wayne Dillon,2015,60.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cadets,Summer Music Preview,2015-07-03,"Bristol, RI",Wayne Dillon,2015,81.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troopers,Summer Music Preview,2015-07-03,"Bristol, RI",Wayne Dillon,2015,69.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Cotter,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluecoats,Show of Shows,2015-07-03,"Rockford, IL",Frank Miller,2015,79.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Regiment,Show of Shows,2015-07-03,"Rockford, IL",Frank Miller,2015,72.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of Atlanta,Show of Shows,2015-07-03,"Rockford, IL",Frank Miller,2015,66.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cavaliers,Show of Shows,2015-07-03,"Rockford, IL",Frank Miller,2015,75.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Knights,Seattle Summer Music Games,2015-07-03,"Renton, WA",Mike Rubino,2015,75.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon Crusaders,Seattle Summer Music Games,2015-07-03,"Renton, WA",Mike Rubino,2015,62.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Cascades,Seattle Summer Music Games,2015-07-03,"Renton, WA",Mike Rubino,2015,61.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Stars,Rotary Music Festival,2015-07-03,"Cedarburg, WI",Debbie Torchia,2015,72.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dale Antoine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,Rotary Music Festival,2015-07-03,"Cedarburg, WI",Debbie Torchia,2015,70.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dale Antoine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Scouts,Rotary Music Festival,2015-07-03,"Cedarburg, WI",Debbie Torchia,2015,73.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dale Antoine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer,Rotary Music Festival,2015-07-03,"Cedarburg, WI",Debbie Torchia,2015,57.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dale Antoine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Devils,East Coast Classic,2015-07-02,"Foxboro, MA",Lee Carlson,2015,81.05,1,Lee Carlson,1.0,8.2,Lee Carlson,1.0,8.3,Frank Morris,1.0,8.2,Frank Morris,2.0,8.2,Jay Kennedy,2.0,7.8,Jay Kennedy,2.0,7.9,Paul McGarr,2.0,7.8,Paul McGarr,2.0,8.3,Wayne Dillon,2.0,8,Wayne Dillon,2.0,8.1,,,,Gifford Howarth,1.0,8.3,Gifford Howarth,2.0,8.3,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,1.0,8.1,Frank Miller,1.0,8.3,Robert Solomon,1.0,8,Robert Solomon,1.0,8.2,,,
Boston Crusaders,East Coast Classic,2015-07-02,"Foxboro, MA",Lee Carlson,2015,71.9,4,Lee Carlson,4.0,7.3,Lee Carlson,4.0,7.5,Frank Morris,5.0,7.1,Frank Morris,5.0,7.2,Jay Kennedy,4.0,7.3,Jay Kennedy,4.0,7.4,Paul McGarr,6.0,6.5,Paul McGarr,5.0,7.1,Wayne Dillon,4.0,7.3,Wayne Dillon,4.0,7.4,,,,Gifford Howarth,4.0,6.8,Gifford Howarth,4.0,7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,5.0,6.9,Frank Miller,5.0,7.2,Robert Solomon,4.0,7.2,Robert Solomon,4.0,7.6,,,
Carolina Crown,East Coast Classic,2015-07-02,"Foxboro, MA",Lee Carlson,2015,79.85,3,Lee Carlson,2.0,8,Lee Carlson,2.0,8.2,Frank Morris,2.0,8.1,Frank Morris,3.0,7.9,Jay Kennedy,1.0,8,Jay Kennedy,3.0,7.8,Paul McGarr,3.0,7.6,Paul McGarr,3.0,8.2,Wayne Dillon,3.0,7.9,Wayne Dillon,3.0,8,,,,Gifford Howarth,2.0,8.2,Gifford Howarth,3.0,8.1,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,2.0,8,Frank Miller,3.0,8,Robert Solomon,2.0,7.8,Robert Solomon,2.0,8.1,,,
Crossmen,East Coast Classic,2015-07-02,"Foxboro, MA",Lee Carlson,2015,71.55,5,Lee Carlson,5.0,7.1,Lee Carlson,5.0,7.3,Frank Morris,4.0,7.3,Frank Morris,4.0,7.4,Jay Kennedy,6.0,7.1,Jay Kennedy,5.0,7.3,Paul McGarr,5.0,6.6,Paul McGarr,4.0,7.2,Wayne Dillon,5.0,7.2,Wayne Dillon,5.0,7.3,,,,Gifford Howarth,6.0,6.4,Gifford Howarth,6.0,6.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,4.0,7.2,Frank Miller,4.0,7.5,Robert Solomon,5.0,7,Robert Solomon,5.0,7.5,,,
Jersey Surf,East Coast Classic,2015-07-02,"Foxboro, MA",Lee Carlson,2015,60.1,7,Lee Carlson,7.0,6.1,Lee Carlson,7.0,6.5,Frank Morris,7.0,5.7,Frank Morris,7.0,6.1,Jay Kennedy,7.0,6.1,Jay Kennedy,7.0,6.3,Paul McGarr,7.0,5.8,Paul McGarr,7.0,6.1,Wayne Dillon,7.0,5.9,Wayne Dillon,7.0,6,,,,Gifford Howarth,7.0,5.8,Gifford Howarth,7.0,6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,7.0,5.6,Frank Miller,7.0,6,Robert Solomon,7.0,5.8,Robert Solomon,7.0,6.2,,,
The Cadets,East Coast Classic,2015-07-02,"Foxboro, MA",Lee Carlson,2015,80.3,2,Lee Carlson,3.0,7.9,Lee Carlson,3.0,8.1,Frank Morris,3.0,8,Frank Morris,1.0,8.3,Jay Kennedy,3.0,7.6,Jay Kennedy,1.0,8,Paul McGarr,1.0,7.9,Paul McGarr,1.0,8.4,Wayne Dillon,1.0,8.1,Wayne Dillon,1.0,8.2,,,,Gifford Howarth,3.0,8.1,Gifford Howarth,1.0,8.4,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,3.0,7.9,Frank Miller,2.0,8.2,Robert Solomon,3.0,7.6,Robert Solomon,3.0,8,,,
Troopers,East Coast Classic,2015-07-02,"Foxboro, MA",Lee Carlson,2015,68.6,6,Lee Carlson,6.0,6.4,Lee Carlson,6.0,6.8,Frank Morris,6.0,7,Frank Morris,6.0,7,Jay Kennedy,5.0,7.2,Jay Kennedy,6.0,7,Paul McGarr,4.0,6.9,Paul McGarr,6.0,7,Wayne Dillon,6.0,6.7,Wayne Dillon,6.0,6.8,,,,Gifford Howarth,5.0,6.6,Gifford Howarth,5.0,6.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,6.0,6.5,Frank Miller,6.0,6.8,Robert Solomon,6.0,6.6,Robert Solomon,6.0,7,,,
Blue Knights,Drums of Fire,2015-07-02,"McMinnville, OR",Mike Rubino,2015,74.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon Crusaders,Drums of Fire,2015-07-02,"McMinnville, OR",Mike Rubino,2015,60.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Cascades,Drums of Fire,2015-07-02,"McMinnville, OR",Mike Rubino,2015,59.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Stars,Celebration In Brass,2015-07-02,"Waukee, IA",Rich Kemp,2015,70.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,Celebration In Brass,2015-07-02,"Waukee, IA",Rich Kemp,2015,67.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara Vanguard,Celebration In Brass,2015-07-02,"Waukee, IA",Rich Kemp,2015,78.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of Atlanta,Celebration In Brass,2015-07-02,"Waukee, IA",Rich Kemp,2015,66.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cavaliers,Celebration In Brass,2015-07-02,"Waukee, IA",Rich Kemp,2015,74.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Stars,Brass Impact,2015-07-01,"Olathe, KS",Lee Carlson,2015,71.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,Brass Impact,2015-07-01,"Olathe, KS",Lee Carlson,2015,66.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara Vanguard,Brass Impact,2015-07-01,"Olathe, KS",Lee Carlson,2015,81.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of Atlanta,Brass Impact,2015-07-01,"Olathe, KS",Lee Carlson,2015,66.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluecoats,The Thunder of Drums,2015-06-29,"Mankato, MN",Chester Phillips,2015,78.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,The Thunder of Drums,2015-06-29,"Mankato, MN",Chester Phillips,2015,65.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Scouts,The Thunder of Drums,2015-06-29,"Mankato, MN",Chester Phillips,2015,71.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer,The Thunder of Drums,2015-06-29,"Mankato, MN",Chester Phillips,2015,57.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Litzenberg,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Regiment,Drums Across the Desert,2015-06-29,"Mesa, AZ",Glen Fugett,2015,74.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara Vanguard,Drums Across the Desert,2015-06-29,"Mesa, AZ",Glen Fugett,2015,79.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Academy,Drums Across the Desert,2015-06-29,"Mesa, AZ",Glen Fugett,2015,67.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Crusaders,Drum Corps: An American Tradition,2015-06-29,"Allentown, PA",Jay Kennedy,2015,71.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Crown,Drum Corps: An American Tradition,2015-06-29,"Allentown, PA",Jay Kennedy,2015,79.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossmen,Drum Corps: An American Tradition,2015-06-29,"Allentown, PA",Jay Kennedy,2015,71.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cadets,Drum Corps: An American Tradition,2015-06-29,"Allentown, PA",Jay Kennedy,2015,79.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troopers,Drum Corps: An American Tradition,2015-06-29,"Allentown, PA",Jay Kennedy,2015,67.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Devils,Western Corps Connection,2015-06-28,"Riverside, CA",Mike Rubino,2015,79.85,1,Kyle Miller,1.0,7.9,Kyle Miller,1.0,8,Lee Carlson,1.0,7.7,Lee Carlson,1.0,7.9,Wayne Dillon,1.0,7.9,Wayne Dillon,1.0,8.2,Glenn Fugett,1.0,7.8,Glenn Fugett,1.0,8.1,John Bell,1.0,8,John Bell,1.0,8.2,,,,Caleb Rothe,2.0,7.9,Caleb Rothe,2.0,8.1,,,,Rick Caccam,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Nelson,1.0,7.9,Carl Nelson,1.0,8.3,Robert Solomon,1.0,7.9,Robert Solomon,1.0,8.2,,,
Blue Knights,Western Corps Connection,2015-06-28,"Riverside, CA",Mike Rubino,2015,72.4,4,Kyle Miller,4.0,7,Kyle Miller,4.0,7.1,Lee Carlson,4.0,6.8,Lee Carlson,4.0,7,Wayne Dillon,3.0,7.5,Wayne Dillon,3.0,7.7,Glenn Fugett,4.0,7.2,Glenn Fugett,4.0,7.4,John Bell,3.0,7.1,John Bell,4.0,7.4,,,,Caleb Rothe,3.0,7.3,Caleb Rothe,3.0,7.6,,,,Rick Caccam,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Nelson,4.0,7.1,Carl Nelson,4.0,7.4,Robert Solomon,4.0,7,Robert Solomon,4.0,7.2,,,
Mandarins,Western Corps Connection,2015-06-28,"Riverside, CA",Mike Rubino,2015,63.05,7,Kyle Miller,7.0,5.9,Kyle Miller,7.0,6.3,Lee Carlson,6.0,6,Lee Carlson,6.0,6.3,Wayne Dillon,6.0,6.3,Wayne Dillon,7.0,6.5,Glenn Fugett,7.0,6.4,Glenn Fugett,7.0,6.6,John Bell,7.0,6.1,John Bell,7.0,6.4,,,,Caleb Rothe,7.0,6.1,Caleb Rothe,7.0,6.4,,,,Rick Caccam,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Nelson,6.0,6.4,Carl Nelson,6.0,6.8,Robert Solomon,7.0,6,Robert Solomon,7.0,6.5,,,
